city_name,rainfall,decade
Brisbane,0,1960s
Brisbane,0,1970s
Brisbane,0,1970s
Brisbane,0,1970s
Brisbane,0,1970s
Brisbane,0,1970s
Brisbane,24.2,1970s
Brisbane,0,1970s
Brisbane,0,1970s
Brisbane,0,1980s
Brisbane,0,1980s
Brisbane,0,1980s
Brisbane,16.2,1980s
Brisbane,0,1980s
Brisbane,0,1980s
Brisbane,0,1980s
Brisbane,0,1980s
Brisbane,0,1990s
Brisbane,0,1990s
Brisbane,0,1990s
Brisbane,0,1990s
Brisbane,9,1990s
Brisbane,0,2000s
Brisbane,12.2,2000s
Brisbane,0,2000s
Brisbane,0,2000s
Brisbane,0,2000s
Brisbane,0,2000s
Brisbane,0,2000s
Brisbane,0,2000s
Brisbane,0,2010s
Brisbane,97,2010s
Brisbane,0,2000s
Brisbane,0,2000s
Brisbane,25,2000s
Brisbane,0,2000s
Brisbane,0.4,2000s
Brisbane,0,2000s
Brisbane,0,2000s
Brisbane,0,2000s
Brisbane,0.8,2000s
Brisbane,0,2000s
Brisbane,0,2010s
Brisbane,0,2010s
Brisbane,34.2,2010s
Brisbane,0,2010s
Brisbane,0.2,2010s
Brisbane,0,2010s
Brisbane,0,2010s
Brisbane,0.2,2010s
Brisbane,0,2010s
Brisbane,0,2010s
Sydney,0,1910s
Sydney,4.8,1910s
Sydney,0.5,1910s
Sydney,0.3,1910s
Sydney,0,1910s
Sydney,0,1910s
Sydney,0,1910s
Sydney,0,1910s
Sydney,0.3,1910s
Sydney,0,1910s
Sydney,2.3,1920s
Sydney,0,1920s
Sydney,0.3,1920s
Sydney,0,1920s
Sydney,0,1920s
Sydney,14.2,1920s
Sydney,0,1920s
Sydney,0.5,1920s
Sydney,0,1920s
Sydney,0,1920s
Sydney,3.8,1930s
Sydney,0.3,1930s
Sydney,0,1930s
Sydney,0,1930s
Sydney,0,1930s
Sydney,5.3,1930s
Sydney,8.4,1930s
Sydney,0.8,1930s
Sydney,7.9,1930s
Sydney,13.5,1930s
Sydney,1,1940s
Sydney,1.5,1940s
Sydney,1,1940s
Sydney,0,1940s
Sydney,0,1940s
Sydney,12.4,1940s
Sydney,0,1940s
Sydney,6.6,1940s
Sydney,5.6,1940s
Sydney,0.3,1940s
Sydney,0,1950s
Sydney,9.4,1950s
Sydney,0,1950s
Sydney,5.3,1950s
Sydney,3,1950s
Sydney,0,1950s
Sydney,0,1950s
Sydney,0.5,1950s
Sydney,21.1,1950s
Sydney,0,1950s
Sydney,0,1960s
Sydney,0.8,1960s
Sydney,0,1960s
Sydney,21.8,1960s
Sydney,0,1960s
Sydney,0,1960s
Sydney,12.4,1960s
Sydney,0,1960s
Sydney,0.3,1960s
Sydney,0.5,1960s
Sydney,0,1970s
Sydney,0.8,1970s
Sydney,36.3,1970s
Sydney,0,1970s
Sydney,0,1970s
Sydney,0,1970s
Sydney,0,1970s
Sydney,11.2,1970s
Sydney,7.4,1970s
Sydney,0,1970s
Sydney,0,1980s
Sydney,2,1980s
Sydney,26.6,1980s
Sydney,0,1980s
Sydney,4.6,1980s
Sydney,0,1980s
Sydney,34.4,1980s
Sydney,0,1980s
Sydney,191,1980s
Sydney,0,1980s
Sydney,0,1990s
Sydney,4.4,1990s
Sydney,1.4,1990s
Sydney,0,1990s
Sydney,0.2,1990s
Sydney,0,1990s
Sydney,1.8,1990s
Sydney,0.8,1990s
Sydney,0,1990s
Sydney,0,1990s
Sydney,4.8,2000s
Sydney,0.2,2000s
Sydney,8,2000s
Sydney,0,2000s
Sydney,20.8,2000s
Sydney,10.2,2000s
Sydney,10.8,2000s
Sydney,0,2000s
Sydney,0,2000s
Sydney,0,2000s
Sydney,0,2010s
Sydney,0,2010s
Sydney,6,2010s
Sydney,0,2010s
Sydney,0,2010s
Sydney,0,2010s
Sydney,0,2010s
Sydney,0,2010s
Sydney,0,2010s
Sydney,0,2010s
Canberra,0,2000s
Canberra,1.8,2010s
Canberra,0,2010s
Canberra,0,2010s
Canberra,0,2010s
Canberra,0,2010s
Canberra,0,2010s
Canberra,0,2010s
Canberra,0,2010s
Canberra,0,2010s
Canberra,0,2010s
Melbourne,0,1960s
Melbourne,0,1960s
Melbourne,1.3,1960s
Melbourne,0,1960s
Melbourne,0,1960s
Melbourne,2,1970s
Melbourne,0,1970s
Melbourne,0,1970s
Melbourne,0,1970s
Melbourne,19,1970s
Melbourne,0,1970s
Melbourne,0,1970s
Melbourne,3.2,1970s
Melbourne,0,1970s
Melbourne,10,1970s
Melbourne,0,1980s
Melbourne,0,1980s
Melbourne,0,1980s
Melbourne,1.2,1980s
Melbourne,0,1980s
Melbourne,0,1980s
Melbourne,17.2,1980s
Melbourne,0,1980s
Melbourne,1.2,1980s
Melbourne,5.8,1980s
Melbourne,0,1990s
Melbourne,0,1990s
Melbourne,0,1990s
Melbourne,16.5,1990s
Melbourne,0,1990s
Melbourne,0,2000s
Melbourne,0,2000s
Melbourne,0,2000s
Melbourne,0,2000s
Melbourne,0,2000s
Melbourne,0,2000s
Melbourne,0,2000s
Melbourne,0,2000s
Melbourne,0,2000s
Melbourne,0,2000s
Melbourne,0,2010s
Melbourne,0,2010s
Melbourne,0,2010s
Melbourne,0,2010s
Melbourne,0.2,2010s
Melbourne,0,2010s
Melbourne,0,2010s
Melbourne,0,2010s
Melbourne,0,2010s
Melbourne,0,2010s
