city_name,temperature,decade
CANBERRA,26.9,1990s
CANBERRA,25,1990s
CANBERRA,26.7,1990s
CANBERRA,27.7,1990s
CANBERRA,23,1990s
CANBERRA,25.9,1990s
CANBERRA,25.7,1990s
CANBERRA,36.1,1990s
CANBERRA,34.2,1990s
CANBERRA,24.7,2000s
CANBERRA,31.5,2000s
CANBERRA,26.5,2000s
CANBERRA,36.4,2000s
CANBERRA,29.7,2000s
CANBERRA,23,2000s
CANBERRA,30.9,2000s
CANBERRA,35.8,2000s
CANBERRA,25.1,2000s
CANBERRA,25,2000s
CANBERRA,26.9,2010s
CANBERRA,30.4,2010s
CANBERRA,29.4,2010s
CANBERRA,36.9,2010s
CANBERRA,39.7,2010s
CANBERRA,26.7,2010s
CANBERRA,25.7,2010s
CANBERRA,38.6,2010s
CANBERRA,30.3,2010s
CANBERRA,41.4,2010s
MELBOURNE,18,1910s
MELBOURNE,21.8,1910s
MELBOURNE,18.2,1910s
MELBOURNE,36.1,1910s
MELBOURNE,21.1,1910s
MELBOURNE,38.4,1910s
MELBOURNE,23.8,1910s
MELBOURNE,21.7,1910s
MELBOURNE,18.6,1910s
MELBOURNE,22.9,1910s
MELBOURNE,19.8,1920s
MELBOURNE,19.2,1920s
MELBOURNE,31.5,1920s
MELBOURNE,28.2,1920s
MELBOURNE,20.7,1920s
MELBOURNE,27.3,1920s
MELBOURNE,17.8,1920s
MELBOURNE,27.3,1920s
MELBOURNE,20.7,1920s
MELBOURNE,30,1920s
MELBOURNE,27.9,1930s
MELBOURNE,28.9,1930s
MELBOURNE,20.5,1930s
MELBOURNE,20.5,1930s
MELBOURNE,38.4,1930s
MELBOURNE,19.4,1930s
MELBOURNE,20.5,1930s
MELBOURNE,30.8,1930s
MELBOURNE,30.4,1930s
MELBOURNE,24.9,1930s
MELBOURNE,25.5,1940s
MELBOURNE,19.1,1940s
MELBOURNE,20,1940s
MELBOURNE,15.1,1940s
MELBOURNE,21.9,1940s
MELBOURNE,20.5,1940s
MELBOURNE,21.5,1940s
MELBOURNE,18.4,1940s
MELBOURNE,21.6,1940s
MELBOURNE,16.1,1940s
MELBOURNE,20.8,1950s
MELBOURNE,28.4,1950s
MELBOURNE,20.2,1950s
MELBOURNE,27.9,1950s
MELBOURNE,20.7,1950s
MELBOURNE,22.8,1950s
MELBOURNE,27.8,1950s
MELBOURNE,27.2,1950s
MELBOURNE,21.6,1950s
MELBOURNE,42.8,1950s
MELBOURNE,38.7,1960s
MELBOURNE,27.8,1960s
MELBOURNE,31.2,1960s
MELBOURNE,21.5,1960s
MELBOURNE,31.6,1960s
MELBOURNE,42.3,1960s
MELBOURNE,20.1,1960s
MELBOURNE,19.4,1960s
MELBOURNE,19.9,1960s
MELBOURNE,38.6,1960s
MELBOURNE,21.8,1970s
MELBOURNE,19.8,1970s
MELBOURNE,32.3,1970s
MELBOURNE,22.2,1970s
MELBOURNE,20.5,1970s
MELBOURNE,19.6,1970s
MELBOURNE,25.7,1970s
